Timestamp,Frame,TrackID,Class,Confidence,X1,Y1,X2,Y2,Width,Height,Area,Center_X,Center_Y,Speed (px/sec),NumberPlate
2025-09-26 12:13:50,359,18,car,0.85,0,142,163,316,163,174,28362,81,229,107.46,Skipped
2025-09-26 12:13:50,359,21,car,0.85,97,178,384,360,287,182,52234,240,269,147.69,Skipped
2025-09-26 12:13:50,360,16,car,0.85,0,164,-1,360,-1,196,-196,-1,262,41.82,N/A
2025-09-26 12:13:50,360,18,car,0.85,0,142,151,315,151,173,26123,75,228,84.8,Cor Iu;
2025-09-26 12:13:50,360,21,car,0.85,89,181,378,360,289,179,51731,233,270,98.58,N/A
2025-09-26 12:13:50,361,16,car,0.85,0,165,-7,360,-7,195,-1365,-4,262,9.16,Skipped
2025-09-26 12:13:50,361,18,car,0.85,125,167,377,360,252,193,48636,251,263,547.98,Skipped
2025-09-26 12:13:50,361,21,car,0.85,81,185,372,360,291,175,50925,226,272,22.23,Skipped
2025-09-26 12:13:50,362,16,car,0.85,0,166,-13,360,-13,194,-2522,-7,263,39.31,Skipped
2025-09-26 12:13:50,362,18,car,0.85,134,165,383,360,249,195,48555,258,262,87.91,Skipped
2025-09-26 12:13:50,362,21,car,0.85,73,188,366,360,293,172,50396,219,274,90.51,Skipped
2025-09-26 12:13:50,363,16,car,0.85,0,166,-19,360,-19,194,-3686,-10,263,31.0,Skipped
2025-09-26 12:13:50,363,18,car,0.85,153,167,403,360,250,193,48250,278,263,206.92,Skipped
2025-09-26 12:13:50,363,21,car,0.85,65,192,359,360,294,168,49392,212,276,75.23,Skipped
2025-09-26 12:13:50,364,16,car,0.85,0,167,-25,360,-25,193,-4825,-13,263,30.92,Skipped
2025-09-26 12:13:50,364,18,car,0.85,156,168,408,360,252,192,48384,282,264,42.49,Skipped
2025-09-26 12:13:50,364,21,car,0.85,57,195,353,360,296,165,48840,205,277,72.87,Skipped
2025-09-26 12:13:50,365,16,car,0.85,0,167,-30,360,-30,193,-5790,-15,263,28.92,Skipped
2025-09-26 12:13:50,365,18,car,0.85,159,170,413,360,254,190,48260,286,265,59.61,Skipped
